LPAR	        SID	INST#	TYPE	VLAN	CustIP
am2hi111	AGH	58	CI	2910	10.139.11.58
am2hi109	AGH	58	DB	2910	10.139.11.245
BLANKXXX	DB0	09	JD	2910	#10.139.11.209
BLANKXXX	DB0	09	JI	2910	#10.139.11.9
BLANKXXX	DB5	16	JD	2910	10.139.11.216
BLANKXXX	DB5	16	JI	2910	10.139.11.16
BLANKXXX	DBC	15	CI	2910	10.139.11.15
BLANKXXX	DBC	15	DB	2910	10.139.11.215
am1hi188	DD1	56	CI	2910	10.139.11.56
am1hi166	DD1	56	DB	2910	10.139.11.244
am2hi111	DGH	12	CI	2910	10.139.11.12
am2hi109	DGH	12	DB	2910	10.139.11.212
am2hi097	DGX	66	CI	2910	10.139.11.66
am2hi099	DGX	66	DB	2910	10.139.11.249
am2hi187	DX1	36	CI	2910	10.139.11.36
am2hi187	DX1	36	DB	2910	10.139.11.236
am2hi003	GDT	24	CI	2910	10.139.11.24
am2hi003	GDT	24	DB	2910	10.139.11.224
am1hi142	GPT	20	CI	2910	10.139.11.20
am1hi130	GPT	20	DB	2910	10.139.11.220
am2hi001	GQT	22	CI	2910	10.139.11.22
am2hi001	GQT	22	DB	2910	10.139.11.222
am2hi107	PAC	99	FT	2910	10.139.11.101
am2hi189	PAC	99	LP	2910	10.139.11.100
am2hi187	PAC	99	SM	2910	10.139.11.102
am2hi107	PAC	99	SR	2910	10.139.11.99
am1hi014	PGH	59	CI	2910	10.139.11.59
am1hi016	PGH	59	DB	2910	10.139.11.243
am2hi101	PGI	07	JD	2910	10.139.11.207
am1hi012	PGI	07	JI	2910	10.139.11.7
am1hi106	PGX	32	CI	2910	10.139.11.32
am1hi108	PGX	32	DB	2910	10.139.11.232
am2hi097	SGX	74	CI	2910	10.139.11.74
am2hi099	SGX	74	DB	2910	10.139.11.250
am1hi112	A1B	50	CI	2912	10.139.13.50
am1hi206	A1B	50	DB	2912	10.139.13.246
am1hi110	A1E	81	CI	2912	10.139.13.81
am1hi204	A1E	81	DB	2912	10.139.13.250
am2hi147	A2E	01	CI	2912	10.139.13.1
am2hi133	A2E	01	DB	2912	10.139.13.11
am2hi147	A2E	56	AP	2912	10.139.13.56
am1hi112	A9B	76	CI	2912	10.139.13.76
am1hi116	A9B	76	DB	2912	10.139.13.247
am1hi110	A9E	79	CI	2912	10.139.13.79
am1hi110	A9E	79	DB	2912	10.139.13.248
am1hi116	AGL	22	LC	2912	10.139.13.22
am1hi114	AGU	20	CI	2912	10.139.13.20
am1hi116	AGU	20	DB	2912	10.139.13.249
am1hi172	D1B	60	CI	2912	10.139.13.60
am1hi172	D1B	60	DB	2912	#10.139.13.60
am2hi195	D2A	28	CI	2912	10.139.13.28
am2hi195	D2A	28	DB	2912	10.139.13.205
am2hi195	D2L	89	LC	2912	10.139.13.89
am2hi155	D8B	53	CI	2912	10.139.13.53
am2hi153	D8B	53	DB	2912	10.139.13.234
am2hi163	D9B	35	CI	2912	10.139.13.35
am2hi163	D9B	35	DB	2912	10.139.13.220
BLANKXXX	DC0	16	JD	2912	10.139.13.243
BLANKXXX	DC0	16	JI	2912	10.139.13.16
am1hi196	DCB	85	CI	2912	10.139.13.85
am1hi196	DCB	85	DB	2912	10.139.13.202
BLANKXXX	DCG	15	CI	2912	#10.139.13.15
BLANKXXX	DCG	15	DB	2912	#10.139.13.242
am2hi147	DEG	56	CI	2912	#
BLANKXXX	DEG	56	DB	2912	#
am2hi119	DGL	86	LC	2912	10.139.13.86
am2hi121	DGU	49	CI	2912	10.139.13.49
am2hi119	DGU	49	DB	2912	10.139.13.244
am1hi120	P1B	37	CI	2912	10.139.13.37
am1hi122	P1B	37	DB	2912	10.139.13.211
am2hi197	P2A	72	CI	2912	10.139.13.72
am2hi197	P2A	72	DB	2912	10.139.13.203
am1hi018	P2E	69	CI	2912	10.139.13.69
am1hi190	P2E	69	DB	2912	10.139.13.206
am1hi138	P2E	70	AP	2912	10.139.13.70
am1hi018	P2E	77	AP	2912	10.139.13.77
am2hi197	P2L	87	LC	2912	10.139.13.87
am2hi167	P6E	45	CI	2912	10.139.13.45
