ENV,CLUSTER,LPAR,PHYSICAL_LPAR,PHYSICAL_IP,SLICES,VLAN_ID,SAP_INSTANCES,ABAP_INSTANCES,JAVA_INSTANCES,SAP_HOSTNAMES,JAVA_HOSTNAMES,DATABASES
dcp,legden01,dcpaix21289490,dcppwr21091687,10.141.64.48,32,149,VA1,DVEBMGS01,,linciva10100,,VA1
dcp,legden01,dcpaix21289490,dcppwr21091687,10.141.64.48,32,149,VA1,DVEBMGS01,,linciva10100,, VA1
dcp,legdgi01,dcpaix21335690,dcppwr21091681,10.141.112.49,16,327,,,SMDA81,,lindbsgx7400c4, DGX SGX
dcp,legdgi01,dcpaix21314367,dcppwr19322687,10.141.112.30,80,327,SGX DGX DGX SGX,SCS75 SCS67 DVEBMGS66 DVEBMGS74,,lincisgx7400 lincidgx6600 lincidgx6600 lincisgx7400,,
dcp,legdgi01,dcpaix21335690,dcppwr21091681,10.141.112.49,16,327,,,SMDA81,,lindbsgx7400c4,DGX SGX
dcp,legdgi01,dcpaix21314367,dcppwr19322687,10.141.112.30,80,327,SGX DGX DGX SGX,SCS75 SCS67 DVEBMGS66 DVEBMGS74,,lincisgx7400 lincidgx6600 lincidgx6600 lincisgx7400,,
dcp,legdgn01,dcpaix21290142,dcppwr21091681,10.141.64.27,19,149,,,,,,DGH -inherit
dcp,legdgn01,dcpaix21289325,dcppwr19322693,10.141.64.98,62,149,,DVEBMGS58 DVEBMGS12,SMDA92 SMDA91,linciagh5800 lincidgh1200,linciagh5800 lincidgh1200,
dcp,legdgn01,dcpaix21290380,dcppwr21091681,10.141.64.44,27,149,GDT GDT,SCS25 DVEBMGS24,,lincigdt2400 lincigdt2400,,GDT
dcp,legdgn01,dcpaix21290380,dcppwr21091681,10.141.64.44,27,149,GDT GDT,SCS25 DVEBMGS24,,lincigdt2400 lincigdt2400,,GDT
dcp,legdgn01,dcpaix21290142,dcppwr21091681,10.141.64.27,19,149,,,,,,DGH -inherit
dcp,legdgn01,dcpaix21289325,dcppwr19322693,10.141.64.98,62,149,,DVEBMGS58 DVEBMGS12,SMDA92 SMDA91,linciagh5800 lincidgh1200,linciagh5800 lincidgh1200,
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,,,,#NAME?
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,,SCS28 DVEBMGS26,JC27 SMDA85,linjidn22700 lincidnu2600,linjidn22700 lincidnu2600,
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,,,,#NAME?
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,,SCS28 DVEBMGS26,JC27 SMDA85,linjidn22700 lincidnu2600,linjidn22700 lincidnu2600,
dcp,legdgn01,dcpaix21346106,dcppwr21175799,10.141.64.170,11,149,DGE,DVEBMGS10,,lincidge1000,,
dcp,legdgn01,dcpaix21404395,dcppwr19322687,10.141.64.68,14,149,,DVEBMGS11,SMDA92,lincisge1100,lincisge1100,
dcp,legdgn01,dcpaix21404209,dcppwr21091681,10.141.64.64,9,149,,,,,,SGE
dcp,legdgn01,dcpaix21404421,dcppwr21137046,10.141.64.21,21,149,,,,,, DGE
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,,DVEBMGS32,SMDA29 SMDA46,lincis9e3200,lindbs9e3200c4 lincis9e3200, S9E
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,,DVEBMGS32,SMDA29 SMDA46,lincis9e3200,lindbs9e3200c4 lincis9e3200,S9E
dcp,legdgn01,dcpaix21402151,dcppwr21175799,10.141.64.161,12,149,,DVEBMGS33,SMDA25 SMDA94,lincis1e3300,lindbs1e3300c4 lincis1e3300, S1E
dcp,legdgn01,dcpaix21402151,dcppwr21175799,10.141.64.161,12,149,,DVEBMGS33,SMDA25 SMDA94,lincis1e3300,lindbs1e3300c4 lincis1e3300, S1E
dcp,legdgn01,dcpaix21322795,dcppwr21091681,10.141.64.199,12,149,,,,,,QNU
dcp,legdgn01,dcpaix21325978,dcppwr19322687,10.141.64.116,12,149,,SCS25 DVEBMGS23,SMDA78 SMDA88 JC24,linjiqn22400 linciqnu2300,linciqnu2300 linjiqn22400 linjiqn22400,
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,,,,#NAME?
dcp,legdgn01,dcpaix21325978,dcppwr19322687,10.141.64.116,12,149,,SCS25 DVEBMGS23,SMDA78 SMDA88 JC24,linjiqn22400 linciqnu2300,linciqnu2300 linjiqn22400 linjiqn22400,
dcp,legdgn01,dcpaix21404136,dcppwr21091681,10.141.64.61,12,149,S2E,DVEBMGS63,,lincis2e6300,,S2E
dcp,legdgn01,dcpaix21404136,dcppwr21091681,10.141.64.61,12,149,S2E,DVEBMGS63,,lincis2e6300,,S2E
dcp,legdgn01,dcpaix21414941,dcppwr21175799,10.141.64.140,24,149,,,SMDA30 SMDA32,,lindbs8e2500c4 lindbs7e2600c4,S7E S8E -inherit
dcp,legdgn01,dcpaix21413544,dcppwr21175796,10.141.64.125,10,149,S8E,DVEBMGS25,,lincis8e2500,,
dcp,legdgn01,dcpaix21414941,dcppwr21175799,10.141.64.140,24,149,,,SMDA30 SMDA32,,lindbs8e2500c4 lindbs7e2600c4,S7E S8E -inherit
dcp,legdgn01,dcpaix21413482,dcppwr21175796,10.141.64.127,12,149,S6E,DVEBMGS23,,lincis6e2300,,
dcp,legdgn01,dcpaix21414941,dcppwr21175799,10.141.64.140,24,149,,,SMDA30 SMDA32,,lindbs8e2500c4 lindbs7e2600c4,S7E S8E -inherit
dcp,legdgn01,dcpaix21413827,dcppwr21175796,10.141.64.129,20,149,,DVEBMGS26,SMDA97,lincis7e2600,lincis7e2600,
