ENV,CLUSTER,LPAR,PHYSICAL_LPAR,PHYSICAL_IP,SLICES,VLAN_ID,ABAP_SIDs,JAVA_SIDs,DATABASES,ABAP_INSTANCES,JAVA_INSTANCES,SAP_HOSTNAMES,JAVA_HOSTNAMES
dcp,legden01,dcpaix21289490,dcppwr21091687,10.141.64.48,32,149,VA1,,VA1,DVEBMGS01,,linciva10100,
dcp,legden01,dcpaix21289490,dcppwr21091687,10.141.64.48,32,149,VA1,,VA1,DVEBMGS01,,linciva10100,
dcp,legdgi01,dcpaix21335690,dcppwr21091681,10.141.112.49,16,327,,G62,DGX SGX,,SMDA81,,lindbsgx7400c4
dcp,legdgi01,dcpaix21314367,dcppwr19322687,10.141.112.30,80,327,SGX DGX DGX SGX,,,SCS75 SCS67 DVEBMGS66 DVEBMGS74,,lincisgx7400 lincidgx6600 lincidgx6600 lincisgx7400,
dcp,legdgi01,dcpaix21335690,dcppwr21091681,10.141.112.49,16,327,,G62,DGX SGX,,SMDA81,,lindbsgx7400c4
dcp,legdgi01,dcpaix21314367,dcppwr19322687,10.141.112.30,80,327,SGX DGX DGX SGX,,,SCS75 SCS67 DVEBMGS66 DVEBMGS74,,lincisgx7400 lincidgx6600 lincidgx6600 lincisgx7400,
dcp,legdgn01,dcpaix21290142,dcppwr21091681,10.141.64.27,19,149,,,DGH AGH,,,,
dcp,legdgn01,dcpaix21289325,dcppwr19322693,10.141.64.98,62,149,AGH DGH,E40 E08,,DVEBMGS58 DVEBMGS12,SMDA92 SMDA91,linciagh5800 lincidgh1200,linciagh5800 lincidgh1200
dcp,legdgn01,dcpaix21290380,dcppwr21091681,10.141.64.44,27,149,GDT GDT,,GDT,SCS25 DVEBMGS24,,lincigdt2400 lincigdt2400,
dcp,legdgn01,dcpaix21290380,dcppwr21091681,10.141.64.44,27,149,GDT GDT,,GDT,SCS25 DVEBMGS24,,lincigdt2400 lincigdt2400,
dcp,legdgn01,dcpaix21290142,dcppwr21091681,10.141.64.27,19,149,,,DGH AGH,,,,
dcp,legdgn01,dcpaix21289325,dcppwr19322693,10.141.64.98,62,149,AGH DGH,E40 E08,,DVEBMGS58 DVEBMGS12,SMDA92 SMDA91,linciagh5800 lincidgh1200,linciagh5800 lincidgh1200
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,DN2 DNU QN2,,,,
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,DN2 DNU,DN2 E11,,SCS28 DVEBMGS26,JC27 SMDA85,linjidn22700 lincidnu2600,linjidn22700 lincidnu2600
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,DN2 DNU QN2,,,,
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,DN2 DNU,DN2 E11,,SCS28 DVEBMGS26,JC27 SMDA85,linjidn22700 lincidnu2600,linjidn22700 lincidnu2600
dcp,legdgn01,dcpaix21346106,dcppwr21175799,10.141.64.170,11,149,DGE,,,DVEBMGS10,,lincidge1000,
