dcp,legden01,dcpaix21289490,dcppwr21091687,10.141.64.48,32,149,VA1,BLANK,DVEBMGS01,BLANK,linciva10100,BLANK,VA1
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,DNU DN2,DN2,DVEBMGS26 SCS28,JC27,lincidnu2600 linjidn22700,linjidn22700,BLANK
dcp,legdgn01,dcpaix21289325,dcppwr19322693,10.141.64.98,62,149,AGH DGH,E40 E08,DVEBMGS58 DVEBMGS12,SMDA92 SMDA91,linciagh5800 lincidgh1200,linciagh5800 lincidgh1200,BLANK
dcp,legdgn01,dcpaix21290142,dcppwr20164807,10.141.64.27,19,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,DGH AGH
dcp,legdgn01,dcpaix21290377,dcppwr20164807,10.141.64.30,23,149,GQT GQT,BLANK,SCS23 DVEBMGS22,BLANK,lincigqt2200 lincigqt2200,BLANK,GQT
dcp,legdgn01,dcpaix21290380,dcppwr20164807,10.141.64.44,27,149,GDT GDT,BLANK,DVEBMGS24 SCS25,BLANK,lincigdt2400 lincigdt2400,BLANK,GDT
dcp,legdgn01,dcpaix21322795,dcppwr20164807,10.141.64.199,12,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,QNU
dcp,legdgn01,dcpaix21323105,dcppwr20164807,10.141.64.195,12,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,QN2 DNU DN2
dcp,legdgn01,dcpaix21325978,dcppwr19322687,10.141.64.116,12,149,QNU QN2,QN2 W36 F98,DVEBMGS23 SCS25,JC24 SMDA78 SMDA88,linciqnu2300 linjiqn22400,linjiqn22400 linciqnu2300 linjiqn22400,BLANK
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,DNU DN2,DN2,DVEBMGS26 SCS28,JC27,lincidnu2600 linjidn22700,linjidn22700,BLANK
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,S9E,E50,DVEBMGS32,SMDA46,lincis9e3200,lincis9e3200,S9E
dcp,legdgn01,dcpaix21346106,dcppwr21175799,10.141.64.170,26,149,DGE,BLANK,DVEBMGS10,BLANK,lincidge1000,BLANK,BLANK
dcp,legdgn01,dcpaix21402151,dcppwr21175799,10.141.64.161,12,149,S1E,BLANK,DVEBMGS33,BLANK,lincis1e3300,BLANK,S1E
dcp,legdgn01,dcpaix21404136,dcppwr20164807,10.141.64.61,51,149,S2E,BLANK,DVEBMGS63,BLANK,lincis2e6300,BLANK,S2E
dcp,legdgn01,dcpaix21404209,dcppwr20164807,10.141.64.64,9,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,SGE
dcp,legdgn01,dcpaix21404395,dcppwr19322687,10.141.64.68,14,149,SGE,E54,DVEBMGS11,SMDA92,lincisge1100,lincisge1100,BLANK
dcp,legdgn01,dcpaix21404421,dcppwr21137046,10.141.64.21,21,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,DGE
dcp,legdgn01,dcpaix21413482,dcppwr21175796,10.141.64.127,12,149,S6E,BLANK,DVEBMGS23,BLANK,lincis6e2300,BLANK,BLANK
dcp,legdgn01,dcpaix21413544,dcppwr21175796,10.141.64.125,20,149,S8E,BLANK,DVEBMGS25,BLANK,lincis8e2500,BLANK,BLANK
dcp,legdgn01,dcpaix21413827,dcppwr21175796,10.141.64.129,15,149,S7E,BLANK,DVEBMGS26,BLANK,lincis7e2600,BLANK,BLANK
dcp,legdgn01,dcpaix21414800,dcppwr21175799,10.141.64.91,60,149,A9E A1E,F62 G04 F60,DVEBMGS79 DVEBMGS81,SMDA75 SMDA63 SMDA76,lincia9e7900 lincia1e8100,lincia9e7900 lindba9e7900c4 lincia1e8100,A9E
dcp,legdgn01,dcpaix21414941,dcppwr21175799,10.141.64.140,50,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,S6E S7E S8E
dcp,legdgn01,dcpaix21415737,dcppwr21175799,10.141.64.131,70,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,A1E
dcp,legdgn01,dcpaix21489534,dcppwr21175815,10.141.64.37,41,149,M2E,F64,DVEBMGS29,SMDA97,lincim2e2900,lincim2e2900,BLANK
dcp,legdgn01,dcpaix21493218,dcppwr20164807,10.141.64.72,22,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,M2E
dcp,legdgn01,dcpaix21517856,dcppwr21137192,10.141.64.149,26,149,DGU SGU,E56,DVEBMGS49 DVEBMGS48,SMDA71,lincidgu4900 lincisgu4800,lincisgu4800,BLANK
dcp,legdgn01,dcpaix21517865,dcppwr21137192,10.141.64.153,16,149,TGE,BLANK,DVEBMGS15,BLANK,lincitge1500,BLANK,BLANK
dcp,legdgn01,dcpaix21517877,dcppwr21137046,10.141.64.184,35,149,MGB,BLANK,DVEBMGS13,BLANK,lincimgb1300,BLANK,BLANK
dcp,legdgn01,dcpaix21518054,dcppwr21175799,10.141.64.76,25,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,JMG MGB
dcp,legdgn01,dcpaix21530125,dcppwr20164807,10.141.64.203,62,149,S9B,BLANK,DVEBMGS14,BLANK,lincis9b1400,BLANK,S9B
dcp,legdgn01,dcpaix21530129,dcppwr20164807,10.141.64.206,42,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,DGU SGU
dcp,legdgn01,dcpaix21530141,dcppwr20164807,10.141.64.218,17,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,TGE
dcp,legdgn01,dcpaix21578123,dcppwr21402621,10.141.64.190,106,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,AGU
dcp,legdgn01,dcpaix21578138,dcppwr21402621,10.141.64.109,62,149,S1B,E41 G50,DVEBMGS73,SMDA95 SMDA25,lincis1b7300,lincis1b7300 lindbs1b7300c4,S1B
dcp,legdgn01,dcpaix21578623,dcppwr21175815,10.141.64.237,27,149,GD8 GQ8,E85 E25,DVEBMGS18 DVEBMGS28,SMDA81 SMDA96,lincigd81800 lincigq82800,lincigq82800 lincigd81800,BLANK
