dcp,legden01,dcpaix21289490,dcppwr21091687,10.141.64.48,32,149,VA1_01_CI,10.141.64.49,DVEBMGS01
dcp,legdgn01,dcpaix21326291,dcppwr21175812,10.141.64.113,12,149,DNU_26_CI,10.141.64.114,DVEBMGS26
dcp,legdgn01,dcpaix21326291,dcppwr21175812,10.141.64.113,12,149,DN2_28_JI,10.141.64.115,SCS28
dcp,legdgn01,dcpaix21289325,dcppwr21175818,10.141.64.98,62,149,DGH_12_CI,10.141.64.99,DVEBMGS12
dcp,legdgn01,dcpaix21289325,dcppwr21175818,10.141.64.98,62,149,AGH_58_CI,10.141.64.100,DVEBMGS58
dcp,legdgn01,dcpaix21290377,dcppwr20164807,10.141.64.30,23,149,GQT_23_CI,10.141.64.34,SCS23
dcp,legdgn01,dcpaix21290377,dcppwr20164807,10.141.64.30,23,149,GQT_22_CI,10.141.64.34,DVEBMGS22
dcp,legdgn01,dcpaix21290380,dcppwr20164807,10.141.64.44,27,149,GDT_24_CI,10.141.64.46,DVEBMGS24
dcp,legdgn01,dcpaix21290380,dcppwr20164807,10.141.64.44,27,149,GDT_25_CI,10.141.64.46,SCS25
dcp,legdgn01,dcpaix21325978,dcppwr21175812,10.141.64.116,12,149,QNU_23_CI,10.141.64.116,DVEBMGS23
dcp,legdgn01,dcpaix21325978,dcppwr21175812,10.141.64.116,12,149,QN2_25_JI,10.141.64.118,SCS25
dcp,legdgn01,dcpaix21326291,dcppwr21175812,10.141.64.113,12,149,DNU_26_CI,10.141.64.114,DVEBMGS26
dcp,legdgn01,dcpaix21326291,dcppwr21175812,10.141.64.113,12,149,DN2_28_JI,10.141.64.115,SCS28
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,S9E_32_CI,10.141.64.168,DVEBMGS32
dcp,legdgn01,dcpaix21346106,dcppwr21175799,10.141.64.170,26,149,DGE_10_CI,10.141.64.22,DVEBMGS10
dcp,legdgn01,dcpaix21402151,dcppwr21175799,10.141.64.161,12,149,S1E_33_CI,10.141.64.162,DVEBMGS33
dcp,legdgn01,dcpaix21404136,dcppwr20164807,10.141.64.61,51,149,S2E_63_CI,10.141.64.62,DVEBMGS63
dcp,legdgn01,dcpaix21404395,dcppwr21175812,10.141.64.68,14,149,SGE_11_CI,10.141.64.69,DVEBMGS11
dcp,legdgn01,dcpaix21413482,dcppwr21175796,10.141.64.127,12,149,S6E_23_CI,10.141.64.128,DVEBMGS23
dcp,legdgn01,dcpaix21413544,dcppwr21175796,10.141.64.125,20,149,S8E_25_CI,10.141.64.126,DVEBMGS25
dcp,legdgn01,dcpaix21413827,dcppwr21175796,10.141.64.129,15,149,S7E_26_CI,10.141.64.130,DVEBMGS26
dcp,legdgn01,dcpaix21414800,dcppwr21175799,10.141.64.91,60,149,A9E_79_CI,10.141.64.92,DVEBMGS79
dcp,legdgn01,dcpaix21414800,dcppwr21175799,10.141.64.91,60,149,A1E_81_CI,10.141.64.94,DVEBMGS81
dcp,legdgn01,dcpaix21489534,dcppwr21175815,10.141.64.37,41,149,M2E_29_CI,10.141.64.38,DVEBMGS29
dcp,legdgn01,dcpaix21517856,dcppwr21175815,10.141.64.149,26,149,SGU_48_CI,10.141.64.152,DVEBMGS48
dcp,legdgn01,dcpaix21517856,dcppwr21175815,10.141.64.149,26,149,DGU_49_CI,10.141.64.150,DVEBMGS49
dcp,legdgn01,dcpaix21517877,dcppwr21137049,10.141.64.184,35,149,MGB_13_CI,10.141.64.185,DVEBMGS13
dcp,legdgn01,dcpaix21530125,dcppwr20164807,10.141.64.203,62,149,S9B_14_CI,10.141.64.204,DVEBMGS14
dcp,legdgn01,dcpaix21578138,dcppwr21091684,10.141.64.109,62,149,S1B_73_CI,10.141.64.110,DVEBMGS73
dcp,legdgn01,dcpaix21578623,dcppwr21175815,10.141.64.237,27,149,GQ8_28_CI,10.141.64.241,DVEBMGS28
dcp,legdgn01,dcpaix21578623,dcppwr21175815,10.141.64.237,27,149,GD8_18_CI,10.141.64.240,DVEBMGS18
dcp,legdgn01,dcpaix21578870,dcppwr21175815,10.141.64.133,43,149,S8B_54_CI,10.141.64.134,DVEBMGS54
dcp,legdgn01,dcpaix21578990,dcppwr21091681,10.141.64.222,92,149,SCB_97_CI,10.141.64.223,DVEBMGS97
dcp,legdgn01,dcpaix21578990,dcppwr21091681,10.141.64.222,92,149,SCJ_05_JI,10.141.64.251,SCS05
dcp,legdgn01,dcpaix21585299,dcppwr21165430,10.141.64.231,42,149,AGU_20_CI,10.141.64.232,DVEBMGS20
dcp,legdgn01,dcpaix21614642,dcppwr21175815,10.141.64.147,49,149,GDU_65_CI,10.141.64.148,DVEBMGS65
dcp,legdgn01,dcpaix21616713,dcppwr21091681,10.141.65.31,53,149,BWQ_72_CI,10.141.65.32,DVEBMGS72
dcp,legdgn01,dcpaix21617950,dcppwr21091684,10.141.64.95,73,149,GDA_50_DA,10.141.64.96,DVEBMGS50
dcp,legdgn01,dcpaix21618125,dcppwr21175815,10.141.64.180,30,149,ZQ2_66_CI,10.141.64.187,DVEBMGS66
dcp,legdgn01,dcpaix21618125,dcppwr21175815,10.141.64.180,30,149,ZD2_56_CI,10.141.64.186,DVEBMGS56
dcp,legdgn01,dcpaix21619650,dcppwr21175815,10.141.64.163,43,149,GQB_64_CI,10.141.64.165,SCS64
dcp,legdgn01,dcpaix21619650,dcppwr21175815,10.141.64.163,43,149,GDB_54_CI,10.141.64.164,SCS54
dcp,legdgn01,dcpaix21619650,dcppwr21175815,10.141.64.163,43,149,GDB_53_CI,10.141.64.164,DVEBMGS53
dcp,legdgn01,dcpaix21619650,dcppwr21175815,10.141.64.163,43,149,GQB_63_CI,10.141.64.165,DVEBMGS63
dcp,legdgn01,dcpaix21621467,dcppwr21091681,10.141.65.34,53,149,BWD_71_CI,10.141.65.35,DVEBMGS71
dcp,legdgn01,dcpaix21677911,dcppwr21175818,10.141.65.81,39,149,GDL_10_JI,10.141.65.82,SCS10
dcp,legdgn01,dcpaix21677939,dcppwr21175818,10.141.65.77,18,149,GDF_26_JI,10.141.65.78,SCS26
dcp,legdgn01,dcpaix21700836,dcppwr21091681,10.141.65.122,22,149,PD1_37_JI,10.141.65.123,SCS37
dcp,legdgn01,dcpaix21701257,dcppwr21175812,10.141.65.65,24,149,GQF_29_JI,10.141.65.66,SCS29
dcp,legdgn01,dcpaix21702413,dcppwr21402010,10.141.65.106,16,149,PFE_07_CI,10.141.65.107,DVEBMGS07
dcp,legdgn01,dcpaix21741514,dcppwr21091681,10.141.65.116,30,149,AGE_02_CI,10.141.65.117,DVEBMGS02
dcp,legdgn01,dcpaix21741781,dcppwr21091681,10.141.65.144,40,149,JGB_01_JI,10.141.65.168,SCS01
dcp,legdgn01,dcpaix21741781,dcppwr21091681,10.141.65.144,40,149,AGB_76_CI,10.141.65.145,DVEBMGS76
dcp,legdgn01,dcpaix21755526,dcppwr21091681,10.141.65.129,32,149,PT1_35_JI,10.141.65.132,SCS35
dcp,legdgn01,dcpaix21764174,dcppwr21175802,10.141.65.171,29,149,GQL_18_JI,10.141.65.172,SCS18
dcp,legdgn01,dcpaix21765395,dcppwr21175815,10.141.65.175,21,149,GRL_14_JI,10.141.65.176,SCS14
dcp,legdgn01,dcpaix21765402,dcppwr21175815,10.141.65.180,17,149,HPS_22_CI,10.141.65.182,DVEBMGS22
